
IDUSUARIO: 7,MATERIAID: 112,MATERIANOME: Algoritmos,CORRETAS: 7,ERRADAS: 3,PONTUACAO:  7
IDUSUARIO: 7,MATERIAID: 111,MATERIANOME: Lógica de Programação,CORRETAS: 9,ERRADAS: 1,PONTUACAO:  9
IDUSUARIO: 11,MATERIAID: 113,MATERIANOME: Matemática Discreta,CORRETAS: 4,ERRADAS: 6,PONTUACAO:  4
IDUSUARIO: 11,MATERIAID: 111,MATERIANOME: Lógica de Programação,CORRETAS: 6,ERRADAS: 4,PONTUACAO:  6
IDUSUARIO: 12,MATERIAID: 111,MATERIANOME: Lógica de Programação,CORRETAS: 3,ERRADAS: 7,PONTUACAO:  3
IDUSUARIO: 12,MATERIAID: 112,MATERIANOME: Algoritmos,CORRETAS: 3,ERRADAS: 7,PONTUACAO:  3
IDUSUARIO: 7,MATERIAID: 111,MATERIANOME: Lógica de Programação,CORRETAS: 6,ERRADAS: 4,PONTUACAO:  6
IDUSUARIO: 5,MATERIAID: 141,MATERIANOME: Gestão de Projetos,CORRETAS: 2,ERRADAS: 9,PONTUACAO:  0
IDUSUARIO: 5,MATERIAID: 141,MATERIANOME: Gestão de Projetos,CORRETAS: 3,ERRADAS: 8,PONTUACAO:  0
IDUSUARIO: 7,MATERIAID: 111,MATERIANOME: Lógica de Programação,CORRETAS: 10,ERRADAS: 0,PONTUACAO: 10
IDUSUARIO: 7,MATERIAID: 111,MATERIANOME: Lógica de Programação,CORRETAS: 0,ERRADAS: 10,PONTUACAO:  0
IDUSUARIO: 5,MATERIAID: 143,MATERIANOME: Big Data,CORRETAS: 0,ERRADAS: 10,PONTUACAO:  0
IDUSUARIO: 5,MATERIAID: 142,MATERIANOME: Empreendedorismo,CORRETAS: 0,ERRADAS: 10,PONTUACAO:  0
IDUSUARIO: 5,MATERIAID: 144,MATERIANOME: Machine Learning,CORRETAS: 0,ERRADAS: 10,PONTUACAO:  0
IDUSUARIO: 5,MATERIAID: 143,MATERIANOME: Big Data,CORRETAS: 6,ERRADAS: 4,PONTUACAO:  6
